epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
93,17354.7,0.22997,0.1725,0.78889,0.94484,0.89724,0.93684,0.70785,0.96551,0.5327,1.19424,0.005446,0.005446,0.005446
94,17539.9,0.23099,0.17208,0.78889,0.9427,0.89817,0.93603,0.70862,0.96307,0.53143,1.19244,0.0053965,0.0053965,0.0053965
95,17724.9,0.22866,0.16961,0.78853,0.94474,0.8981,0.93663,0.70992,0.96178,0.53028,1.19127,0.005347,0.005347,0.005347
96,17910.3,0.22709,0.1686,0.78733,0.94193,0.90101,0.93654,0.70995,0.95994,0.52952,1.18975,0.0052975,0.0052975,0.0052975
97,18095.6,0.22549,0.16763,0.78713,0.94088,0.90105,0.93669,0.71119,0.95822,0.52827,1.18781,0.005248,0.005248,0.005248
98,18281.1,0.22256,0.16607,0.78655,0.93866,0.90335,0.93726,0.71324,0.95698,0.52833,1.1868,0.0051985,0.0051985,0.0051985
99,18466,0.21949,0.16483,0.78651,0.93605,0.90342,0.93798,0.71363,0.95458,0.52613,1.18418,0.005149,0.005149,0.005149
100,18651.1,0.21945,0.16425,0.78616,0.94269,0.89877,0.93768,0.71407,0.95462,0.5272,1.18464,0.0050995,0.0050995,0.0050995
101,18836.6,0.21898,0.16326,0.78566,0.94337,0.89764,0.93766,0.71484,0.95409,0.52692,1.18433,0.00505,0.00505,0.00505
102,19022.1,0.21497,0.16136,0.7851,0.94392,0.89719,0.93699,0.71443,0.95341,0.52812,1.18406,0.0050005,0.0050005,0.0050005
103,19207.5,0.21583,0.1629,0.78574,0.94433,0.89737,0.93664,0.71399,0.95365,0.52817,1.18498,0.004951,0.004951,0.004951
104,19393.8,0.21289,0.16084,0.7844,0.94525,0.89614,0.93673,0.7151,0.9539,0.52905,1.18562,0.0049015,0.0049015,0.0049015
105,19579.4,0.21329,0.16178,0.784,0.94713,0.89575,0.93669,0.7149,0.95352,0.52712,1.18521,0.004852,0.004852,0.004852
106,19765.2,0.20961,0.15956,0.78317,0.9463,0.89594,0.93669,0.7158,0.95351,0.52814,1.18521,0.0048025,0.0048025,0.0048025
107,19950.9,0.20807,0.15864,0.78334,0.94537,0.89582,0.93635,0.71565,0.95333,0.52955,1.1852,0.004753,0.004753,0.004753
108,20136.8,0.2073,0.15766,0.78308,0.94283,0.896,0.93631,0.71611,0.95335,0.53031,1.1848,0.0047035,0.0047035,0.0047035
